resourceid,resourcename,resourceorganization,resourcetypeabbr,scheduledays,resourcetitle,ratecategory,step,rate_regular,rate_regular_night,rate_regular_sunday,rate_regular_sunday_night, rate_overtime, rate_overtime_night, rate_overtime_sunday_night
621-39-1370,"Strole, Alberto ES SGT",15,PSS,Wed - Sun,Sergeant,LE-4,9,45.25,49.77,56.56,61.08,67.87,72.39,83.71
674-96-9028,"Pacheco, Vanessa ES OFC",15,RADIO,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
699-47-5514,"Hudson, Geraldine ES SGT",15,PSS,Mon - Fri,Sergeant,LE-4,5,37.91,41.7,47.39,51.18,56.87,60.66,70.13
749-71-7418,"Guella, Thaddeus ES OFC",15,PSS,Wed - Sun,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
758-21-1276,"Rioz, Julia ES OFC/T",15,PSS,Wed - Sun,Officer/Tech,LE-1T,1,28.18,31,35.23,38.04,42.27,45.09,52.13
819-13-7311,"King, Edward ES OFC",15,PSS,Mon - Fri,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
831-89-7306,"Tucker, Kenneth ES OFC",15,PSS,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
882-97-5142,"Kirkland, Adan ES SGT/T",15,PSS,Mon - Fri,Sergeant/Tech,LE-4T,7,44.07,48.48,55.09,59.49,66.11,70.51,81.53
973-87-5040,"Gray, Gary ES SGT",15,PSS,Sat - Wed,Sergeant,LE-4,8,43.41,47.75,54.26,58.61,65.12,69.46,80.31
986-20-9492,"Bradshaw, Dewayne ES OFC",15,INT,Sat - Wed,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
998-71-7633,"Shannon, Tuan ES OFC",15,INT,Sat - Wed,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
002-71-5489,"Hemsworth, Emmett ES OFC",16,PSS,Mon - Fri,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
014-01-8517,"Ward, Paul ES OFC",16,Lead Advance,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
173-94-0754,"Burnett, Marion ES ASST CHIEF",16,PSS,Mon - Fri,Assistant Chief,LE-10,10,74.51,81.96,93.14,100.59,74.51,81.96,100.59
183-70-0600,"Milton, Jason ES OFC",16,PSS,Mon - Fri,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
267-44-3163,"Pflueger, Gerard ES OFC",16,PSS,Mon - Fri,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
329-65-2338,"Ford, Alan ES OFC",16,PSS,Sat - Wed,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
506-87-5594,"English, Rogelio ES OFC",16,INT,Sat - Wed,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
532-41-8035,"Jamison, Emile ES OFC",16,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
586-94-0101,"Gunter, Phillip ES OFC",16,PSS,Mon - Fri,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
627-68-0995,"Burton, Gary ES OFC",16,PSS,Mon - Fri,Officer,LE-1,7,36.15,39.77,45.19,48.8,54.23,57.85,66.88
675-47-9098,"Contreras, Archie ES OFC",16,PSS,Wed - Sun,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
709-12-7724,"Knighton, Barbara ES OFC",16,PSS,Mon - Fri,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
717-64-6656,"Buck, Russel ES SGT",16,PSS,Sat - Wed,Sergeant,LE-4,5,37.91,41.7,47.39,51.18,56.87,60.66,70.13
797-93-6493,"Kent, Roman ES OFC",16,PSS,Mon - Fri,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
847-24-4472,"Agustino, Edna ES OFC",16,PHYS SEC LEAD,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
896-79-2176,"Love, Manuel ES OFC",16,PSS,Wed - Sun,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
020-99-2637,"Campbell, Andrew ES OFC/T",17,PSS,Mon - Fri,Officer/Tech,LE-1T,10,43.39,47.73,54.24,58.58,65.09,69.42,80.27
023-67-7016,"Bailey, Mildred ES OFC",17,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
134-45-0360,"Stieg, Jeffry ES OFC",17,PSS,Mon - Fri,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
151-42-2926,"Eaton, Sherman ES OFC",17,PSS,Mon - Fri,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
210-28-9813,"Andersen, Jamel ES OFC",17,PSS,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
251-65-8919,"Szwed, Erwin ES OFC",17,PSS,Wed - Sun,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
265-29-0653,"Steinacker, Odell ES OFC",17,INT,Sat - Wed,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
310-60-5879,"Plume, Tim ES SGT/T",17,PSS,Sat - Wed,Sergeant/Tech,LE-4T,11,51.85,57.03,64.81,69.99,77.77,82.96,95.92
328-99-2503,"Kovalovsky, Fidel ES OFC",17,PSS,Mon - Fri,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
333-11-4145,"Adkins, Rick ES OFC",17,RADIO,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
392-95-3227,"Bailey, Ryan ES OFC",17,PSS,Mon - Fri,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
393-77-1150,"Culotta, Darrell ES LT",17,PSS,Mon - Fri,Lieutenant,LE-5,10,51.78,56.95,64.72,69.9,77.67,82.84,95.79
408-18-7368,"Solis, Rodger ES OFC",17,INT,Sat - Wed,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
444-78-0090,"Lamblin, Earnest ES OFC",17,PSS,Sat - Wed,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
513-95-4669,"Stark, Rickie ES OFC/T",17,INT,Sat - Wed,Officer/Tech,LE-1T,12,46.78,51.46,58.48,63.15,70.17,74.85,86.54
649-37-4543,"Pundsack, Arturo ES OFC/T",17,PSS,Mon - Fri,Officer/Tech,LE-1T,10,43.39,47.73,54.24,58.58,65.09,69.42,80.27
799-22-4869,"Lecy, Victor ES OFC",17,PSS,Mon - Fri,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
820-10-1366,"Mathie, Oscar ES OFC",17,PSS,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
825-82-9802,"Jones, Bruce ES OFC",17,RADIO,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
986-54-3441,"Milera, Ty ES OFC",17,INT,Sat - Wed,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
070-91-7469,"Deleon, Gina ES OFC",18,PSS,Mon - Fri,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
079-44-0967,"Hutchinson, Josiah ES OFC",18,PSS,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
094-24-6721,"Nolden, Vincent ES OFC",18,PSS,Mon - Fri,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
153-09-5851,"Dickerson, Marjorie ES OFC",18,Lead Advance,Mon - Fri,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
532-07-1590,"Trodden, Erick ES SGT",18,PSS,Mon - Fri,Sergeant,LE-4,5,37.91,41.7,47.39,51.18,56.87,60.66,70.13
577-62-7289,"Qualia, Claude ES SGT",18,PSS,Sat - Wed,Sergeant,LE-4,6,39.74,43.71,49.68,53.65,59.61,63.58,73.52
580-18-9554,"Montoya, Boyce ES OFC",18,PSS,Mon - Fri,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
581-98-6538,"Kramer, Walton ES OFC/T",18,PSS,Wed - Sun,Officer/Tech,LE-1T,7,38.32,42.15,47.9,51.73,57.48,61.31,70.89
669-93-3004,"Lobner, Darin ES OFC",18,PSS,Mon - Fri,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
816-48-4366,"Krogman, Clinton ES OFC",18,INT,Sat - Wed,Officer,LE-1,7,36.15,39.77,45.19,48.8,54.23,57.85,66.88
823-51-5109,"Harmison, Edmond ES OFC",18,INT,Sat - Wed,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
889-47-0424,"Lefrancois, Gary ES OFC/T",18,INT,Sat - Wed,Officer/Tech,LE-1T,10,43.39,47.73,54.24,58.58,65.09,69.42,80.27
972-40-9740,"Drybread, Stacy ES OFC",18,PSS,Mon - Fri,Officer,LE-1,7,36.15,39.77,45.19,48.8,54.23,57.85,66.88
979-03-8576,"Vold, Tomas ES OFC",18,PSS,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
088-02-2548,"Schmitt, Todd ES OFC",19,PSS,Wed - Sun,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
101-97-8233,"Siefferman, Sylvester ES SGT/T",19,PSS,Wed - Sun,Sergeant/Tech,LE-4T,7,44.07,48.48,55.09,59.49,66.11,70.51,81.53
230-51-2144,"Leman, Kristopher ES SGT/T",19,PSS,Mon - Fri,Sergeant/Tech,LE-4T,13,55.74,61.31,69.67,75.24,83.6,89.18,103.11
263-82-5638,"Adams, Jimmy ES SGT",19,PSS,Wed - Sun,Sergeant,LE-4,13,52.59,57.85,65.73,70.99,78.88,84.14,97.29
364-93-3358,"Paige, Ernest ES OFC",19,PSS,Sat - Wed,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
604-66-3620,"Craine, Agustin ES OFC",19,PSS,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
640-06-5985,"Maxwell, Ruben ES OFC",19,PSS,Sat - Wed,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
663-13-7908,"Furci, Hazel ES OFC",19,INT,Sat - Wed,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
788-47-2132,"Suarez, Thaddeus ES OFC",19,PSS,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
801-77-5062,"Grandmaison, Kim ES SGT/T",19,PSS,Mon - Fri,Sergeant/Tech,LE-4T,7,44.07,48.48,55.09,59.49,66.11,70.51,81.53
857-26-8989,"Augustyniak, Darwin ES OFC/T",19,PSS,Mon - Fri,Officer/Tech,LE-1T,12,46.78,51.46,58.48,63.15,70.17,74.85,86.54
930-86-7830,"Stopyra, Charles ES OFC",19,PSS,Mon - Fri,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
937-44-1555,"Myers, Harold ES OFC",19,INT,Sat - Wed,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
044-61-8461,"Senta, Victor ES OFC/T",20,PSS,Mon - Fri,Officer/Tech,LE-1T,4,33.25,36.58,41.56,44.89,49.88,53.2,61.51
127-77-9366,"Ruddy, Ivan ES OFC",20,PSS,Wed - Sun,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
160-66-6897,"Holtorf, Marcus ES OFC",20,PSS,Mon - Fri,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
212-56-4327,"Woode, Hollis ES OFC/T",20,PSS,Mon - Fri,Officer/Tech,LE-1T,1,28.18,31,35.23,38.04,42.27,45.09,52.13
218-38-0740,"Schultz, Joshua ES SGT/T",20,PSS,Mon - Fri,Sergeant/Tech,LE-4T,13,55.74,61.31,69.67,75.24,83.6,89.18,103.11
234-55-8740,"Mingus, Sue ES SGT/T",20,PSS,Sat - Wed,Sergeant/Tech,LE-4T,7,44.07,48.48,55.09,59.49,66.11,70.51,81.53
258-09-9413,"Rufe, Elton ES OFC",20,PSS,Mon - Fri,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
316-19-1675,"Nixon, Phil ES OFC",20,PSS,Wed - Sun,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
474-09-7366,"Prosak, Desmond ES OFC",20,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
489-11-7747,"Santos, Harry ES OFC",20,PSS,Sat - Wed,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
522-50-7463,"Snow, Claudio ES SGT",20,PSS,Mon - Fri,Sergeant,LE-4,12,50.75,55.83,63.44,68.51,76.13,81.2,93.89
637-08-6866,"Kinsella, Mack ES OFC",20,PSS,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
684-41-4452,"Tipton, Benjamin ES OFC",20,PSS,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
690-84-1381,"Willard, Eddie ES OFC",20,PSS,Mon - Fri,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
700-03-8940,"Walsh, Arthur ES SGT",20,PSS,Mon - Fri,Sergeant,LE-4,12,50.75,55.83,63.44,68.51,76.13,81.2,93.89
749-01-2908,"Boge, Daniel ES OFC",20,INT,Sat - Wed,Officer,LE-1,7,36.15,39.77,45.19,48.8,54.23,57.85,66.88
815-61-8817,"Demesa, Kelly ES OFC",20,Lead Advance,Mon - Fri,Officer,LE-1,7,36.15,39.77,45.19,48.8,54.23,57.85,66.88
837-65-1815,"Smith, Samuel ES OFC",20,PSS,Wed - Sun,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
857-09-0136,"Paterniti, Sandra ES OFC",20,PSS,Mon - Fri,Officer,LE-1,7,36.15,39.77,45.19,48.8,54.23,57.85,66.88
907-84-1910,"Douglas, Justin ES OFC/T",20,INT,Sat - Wed,Officer/Tech,LE-1T,11,45.09,49.6,56.36,60.87,67.64,72.14,83.42
981-41-2853,"Platzer, Bart ES OFC",20,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
046-37-9288,"Sweetman, Ned ES OFC",21,INT,Sat - Wed,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
070-51-7245,"Reay, Johnathan ES SGT",21,PSS,Mon - Fri,Sergeant,LE-4,10,47.08,51.79,58.85,63.56,70.62,75.33,87.1
143-42-8572,"Bernard, Rory ES SGT",21,PSS,Mon - Fri,Sergeant,LE-4,9,45.25,49.77,56.56,61.08,67.87,72.39,83.71
247-99-4920,"Perez, Frank ES OFC/T",21,PSS,Mon - Fri,Officer/Tech,LE-1T,4,33.25,36.58,41.56,44.89,49.88,53.2,61.51
363-72-6943,"Duran, Wilbert ES SGT/T",21,PSS,Sat - Wed,Sergeant/Tech,LE-4T,6,42.13,46.34,52.66,56.88,63.2,67.41,77.94
368-90-8881,"Young, Kenneth ES OFC",21,PSS,Mon - Fri,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
379-70-6646,"Brayboy, Roosevelt ES SGT",21,PSS,Mon - Fri,Sergeant,LE-4,4,36.07,39.68,45.09,48.69,54.11,57.71,66.73
448-61-1743,"Grisanti, Eleanor ES OFC",21,PSS,Mon - Fri,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
568-67-0689,"Stephenson, Alma ES OFC",21,PSS,Sat - Wed,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
595-65-7998,"Martin, William ES OFC/T",21,PSS,Mon - Fri,Officer/Tech,LE-1T,5,34.94,38.43,43.68,47.17,52.41,55.9,64.64
625-96-9464,"Gaines, Robert ES OFC",21,PSS,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
676-01-7421,"Kross, Perry ES OFC",21,PSS,Mon - Fri,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
747-10-8223,"Head, Zachery ES OFC",21,PHYS SEC LEAD,Mon - Fri,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
822-42-3523,"Cortesi, Elliot ES OFC",21,PSS,Mon - Fri,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
826-88-2321,"Oum, Cary ES LT",21,PSS,Mon - Fri,Lieutenant,LE-5,9,49.76,54.74,62.2,67.18,74.64,79.62,92.06
038-30-4172,"Nottingham, Monte ES OFC",22,PSS,Wed - Sun,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
078-72-3901,"Morgan, Jeffery ES OFC",22,INT,Sat - Wed,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
087-01-4167,"Dobrasz, Kyle ES OFC",22,PSS,Mon - Fri,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
220-73-6038,"Bray, Rachel ES OFC",22,INT,Sat - Wed,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
233-59-7577,"Dunston, Jessica ES OFC",22,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
244-46-5004,"Aranas, Xavier ES OFC",22,PSS,Sat - Wed,Officer,LE-1,7,36.15,39.77,45.19,48.8,54.23,57.85,66.88
287-27-7201,"Ramsey, Jason ES OFC",22,PSS,Mon - Fri,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
393-01-6733,"Solak, Irvin ES OFC",22,PSS,Mon - Fri,Officer,LE-1,7,36.15,39.77,45.19,48.8,54.23,57.85,66.88
405-25-7142,"Torreblanca, Gus ES OFC",22,PSS,Wed - Sun,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
408-28-7286,"Abrams, Eliseo ES OFC/T",22,PSS,Wed - Sun,Officer/Tech,LE-1T,3,31.56,34.72,39.45,42.61,47.34,50.5,58.39
425-01-0276,"Kakeh, Patricia ES OFC",22,PSS,Mon - Fri,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
474-26-2496,"Vinson, Houston ES OFC/T",22,INT,Sat - Wed,Officer/Tech,LE-1T,5,34.94,38.43,43.68,47.17,52.41,55.9,64.64
475-62-1799,"Birdtail, Dwayne ES OFC",22,PSS,Mon - Fri,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
521-03-9128,"Ayala, Arden ES OFC/T",22,PSS,Mon - Fri,Officer/Tech,LE-1T,8,40.01,44.01,50.01,54.01,60.02,64.02,74.02
535-62-4280,"Coswell, Josephine ES OFC",22,PSS,Mon - Fri,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
545-80-4813,"Carter, Larry ES OFC",22,INT,Sat - Wed,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
598-65-3101,"Childers, Leopoldo ES OFC/T",22,PSS,Mon - Fri,Officer/Tech,LE-1T,1,28.18,31,35.23,38.04,42.27,45.09,52.13
685-87-6598,"Pesarchick, Dawn ES OFC/T",22,PSS,Mon - Fri,Officer/Tech,LE-1T,5,34.94,38.43,43.68,47.17,52.41,55.9,64.64
703-56-3397,"Sullivan, Elizabeth ES OFC",22,PSS,Mon - Fri,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
791-59-8297,"Romera, Omar ES OFC",22,PSS,Wed - Sun,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
802-20-7442,"Yuska, Logan ES OFC",22,PSS,Sat - Wed,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
864-76-4740,"Brisson, Lillian ES OFC",22,PSS,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
886-95-4176,"Guzman, Dennis ES CPT",22,PSS,Mon - Fri,Captain,LE-7,11,59.19,65.11,73.99,79.91,59.19,65.11,79.91
929-20-5427,"Toups, Pedro ES OFC",22,Lead Advance,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
967-01-9273,"Morris, Heather ES OFC",22,PSS,Wed - Sun,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
998-60-5993,"Kenney, Micheal ES OFC/T",22,PSS,Mon - Fri,Officer/Tech,LE-1T,10,43.39,47.73,54.24,58.58,65.09,69.42,80.27
086-09-5675,"Ehmke, Freddy ES OFC/T",23,PSS,Mon - Fri,Officer/Tech,LE-1T,7,38.32,42.15,47.9,51.73,57.48,61.31,70.89
137-55-7306,"Evans, Rodney ES OFC",23,PSS,Wed - Sun,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
187-24-5600,"Bradford, Osvaldo ES SGT/T",23,PSS,Wed - Sun,Sergeant/Tech,LE-4T,13,55.74,61.31,69.67,75.24,83.6,89.18,103.11
271-89-0633,"Bachar, Ricardo ES OFC",23,PSS,Sat - Wed,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
300-55-9084,"Mordaunt, Brian ES OFC",23,PSS,Sat - Wed,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
407-09-7295,"Gutierrez, James ES OFC",23,PSS,Mon - Fri,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
461-15-1063,"Crabtree, Robert ES OFC/T",23,PSS,Mon - Fri,Officer/Tech,LE-1T,12,46.78,51.46,58.48,63.15,70.17,74.85,86.54
487-37-1186,"Rafla, Matt ES OFC",23,PSS,Mon - Fri,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
560-28-8527,"Fuller, Eric ES OFC",23,PSS,Mon - Fri,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
580-29-7310,"Nemard, Solomon ES OFC",23,PSS,Mon - Fri,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
590-63-3756,"Hess, Wilbert ES OFC",23,PSS,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
613-11-1418,"Steuber, Rosa ES SGT",23,PSS,Sat - Wed,Sergeant,LE-4,5,37.91,41.7,47.39,51.18,56.87,60.66,70.13
754-36-9705,"Anthony, Nigel ES OFC",23,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
788-59-4296,"Reece, Aaron ES OFC",23,INT,Sat - Wed,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
823-45-5356,"Stancombe, Brendan ES SGT",23,PSS,Mon - Fri,Sergeant,LE-4,12,50.75,55.83,63.44,68.51,76.13,81.2,93.89
950-35-1041,"Bord, Rudy ES OFC",23,PSS,Mon - Fri,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
970-68-4244,"Dailey, Rodrick ES OFC/T",23,PSS,Mon - Fri,Officer/Tech,LE-1T,10,43.39,47.73,54.24,58.58,65.09,69.42,80.27
030-53-6351,"Ragel, Floyd ES OFC/T",24,Lead Advance,Mon - Fri,Officer/Tech,LE-1T,4,33.25,36.58,41.56,44.89,49.88,53.2,61.51
094-62-2221,"Carrillo, Saul ES OFC",24,PSS,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
113-09-2766,"Griggs, Jerrod ES OFC",24,PHYS SEC LEAD,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
123-58-4101,"Trenholm, Gilberto ES OFC",24,PSS,Mon - Fri,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
166-28-8580,"Ducotey, Harvey ES OFC",24,PSS,Sat - Wed,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
205-10-2810,"Osbourne, Jerald ES SGT",24,INT,Sat - Wed,Sergeant,LE-4,12,50.75,55.83,63.44,68.51,76.13,81.2,93.89
267-94-3054,"Kaltz, Katie ES OFC",24,INT,Sat - Wed,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
282-29-6551,"Grady, Marcelo ES SGT/T",24,PSS,Mon - Fri,Sergeant/Tech,LE-4T,12,53.79,59.17,67.24,72.62,80.69,86.07,99.51
296-95-9871,"Rutledge, Silas ES OFC",24,PSS,Sat - Wed,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
375-32-0141,"Glauberman, Joe ES OFC",24,PSS,Mon - Fri,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
390-34-9312,"Weatherley, Max ES OFC/T",24,PSS,Mon - Fri,Officer/Tech,LE-1T,1,28.18,31,35.23,38.04,42.27,45.09,52.13
442-21-2914,"Donovan, Jarvis ES SGT",24,PSS,Mon - Fri,Sergeant,LE-4,4,36.07,39.68,45.09,48.69,54.11,57.71,66.73
449-73-1712,"Chandler, Chad ES OFC",24,PSS,Mon - Fri,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
486-71-7930,"Delacruz, Tristan ES SGT",24,PSS,Mon - Fri,Sergeant,LE-4,12,50.75,55.83,63.44,68.51,76.13,81.2,93.89
488-02-5895,"Encallado, Raul ES OFC/T",24,PSS,Sat - Wed,Officer/Tech,LE-1T,5,34.94,38.43,43.68,47.17,52.41,55.9,64.64
556-04-0518,"Kustra, Pete ES OFC/T",24,PSS,Mon - Fri,Officer/Tech,LE-1T,4,33.25,36.58,41.56,44.89,49.88,53.2,61.51
648-34-8353,"Bosak, Eldon ES OFC",24,PSS,Mon - Fri,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
660-87-2209,"Greminger, Carter ES SGT/T",24,PSS,Wed - Sun,Sergeant/Tech,LE-4T,9,47.96,52.75,59.95,64.74,71.94,76.73,88.72
699-99-8050,"Mcelveen, Stephanie ES OFC",24,PSS,Mon - Fri,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
710-56-0363,"Linsay, Doug ES OFC/T",24,PSS,Mon - Fri,Officer/Tech,LE-1T,9,41.7,45.87,52.13,56.3,62.55,66.72,77.15
814-21-7084,"Hautala, Armando ES SGT/T",24,PSS,Mon - Fri,Sergeant/Tech,LE-4T,11,51.85,57.03,64.81,69.99,77.77,82.96,95.92
094-94-2859,"Rosario, Alvaro ES OFC",25,PSS,Mon - Fri,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
098-26-4610,"Feeney, Don ES OFC/T",25,PSS,Sat - Wed,Officer/Tech,LE-1T,8,40.01,44.01,50.01,54.01,60.02,64.02,74.02
257-84-6354,"Cole, Joe ES OFC",25,PSS,Mon - Fri,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
277-81-8379,"Jenkins, Jeffrey ES LT",25,RADIO,Mon - Fri,Lieutenant,LE-5,6,43.72,48.09,54.65,59.02,65.58,69.95,80.88
